key,label
-2,Media
-1,Special
0,Item
1,Talk
2,User
3,User talk
4,Wikidata
5,Wikidata talk
6,File
7,File talk
8,MediaWiki
9,MediaWiki talk
10,Template
11,Template talk
12,Help
13,Help talk
14,Category
15,Category talk
120,Property
121,Property talk
122,Query
123,Query talk
146,Lexeme
147,Lexeme talk
828,Module
829,Module talk
1198,Translations
1199,Translations talk
2300,Gadget
2301,Gadget talk
2302,Gadget definition
2303,Gadget definition talk
2600,Topic
